dataset,modelo,acuracia_treino,acuracia_teste,gap_treino_teste,f1_macro_teste,score_ranking
binario_VF,RandomForest,1.0,0.9966666666666667,0.0033333333333332993,0.9966666651851845,0.9933333333333334
binario_VF,MLP,1.0,0.9933333333333333,0.00666666666666671,0.9933333214814604,0.9866666666666666
binario_VF,SVM,0.9988333333333334,0.9906666666666667,0.008166666666666655,0.9906660692951015,0.9825
binario_VF,RegressaoLogistica,0.9995,0.976,0.023500000000000076,0.9759999573332575,0.9524999999999999
binario_VF,NaiveBayes,0.9451666666666667,0.9366666666666666,0.008500000000000063,0.9366429852224765,0.9281666666666666
multiclasse_1a5,MLP,1.0,0.978,0.02200000000000002,0.9779983699715995,0.956
multiclasse_1a5,RandomForest,1.0,0.9693333333333334,0.03066666666666662,0.9693518911410411,0.9386666666666668
multiclasse_1a5,SVM,0.9951666666666666,0.964,0.031166666666666676,0.9642565893900693,0.9328333333333333
multiclasse_1a5,RegressaoLogistica,1.0,0.94,0.06000000000000005,0.9398826524040468,0.8799999999999999
multiclasse_1a5,NaiveBayes,0.8395,0.8253333333333334,0.01416666666666666,0.8260053258368598,0.8111666666666667
multiclasse_AaE,MLP,1.0,0.94,0.06000000000000005,0.9399833281844444,0.8799999999999999
multiclasse_AaE,SVM,0.9781666666666666,0.9266666666666666,0.05149999999999999,0.9265760634858164,0.8751666666666666
multiclasse_AaE,RandomForest,1.0,0.9353333333333333,0.06466666666666665,0.9351945433337949,0.8706666666666667
multiclasse_AaE,RegressaoLogistica,0.9621666666666666,0.812,0.15016666666666656,0.8118689130198831,0.6618333333333335
multiclasse_AaE,NaiveBayes,0.552,0.5526666666666666,-0.0006666666666665932,0.5554079620723409,0.552
